"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R1,R2";"0603R";2;"10k";;;
2;",,,,,,,,,,,,,";"buzzardLabel";14;"";;;
3;"R3";"0402R";1;"2k2";;;
4;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
5;"K1";"TERMINAL_KF235-5.0-2P";1;"TERMINAL_KF235-5.0-2P";;;
6;"JP1";"SMD_JUMPER_3_PAD_TRACE";1;"SMD_JUMPER_3_PAD_TRACE";;;
7;"REF**";"Logo-Back-SolderedFULL-20mm";1;"Logo-Front-SolderedFULL-20mm";;;
8;"K4,K2";"easyC-connector";2;"easyC-SMD";;;
9;"C2,C1";"0603C";2;"100nF";;;
10;"D1";"0402LED";1;"purple";;;
11;"JP2";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
12;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
13;"H1,H2";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
14;"U1";"MCP47A1-SOT23-6";1;"MCP47A1";;;
15;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
16;"G***";"Logo-Front-Soldered-5mm";1;"LOGO";;;
17;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
18;"REF**";"Symbol-Front-I2C-ADDR-Field";1;"Symbol-Front-I2C-ADDR-Field";;;
19;"K3";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
